                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                  1.359,                0.61745,                 0.9864,                0.90149,                0.82983,                    0.9,                0.57404,                 1.3189,                0.57353,                 0.9868,               0.005248,               0.005248,               0.005248
                     50,                  1.356,                 0.6151,                0.98732,                0.89998,                 0.8316,                 0.9008,                0.57575,                 1.3171,                0.57333,                0.98601,               0.005149,               0.005149,               0.005149
                     51,                 1.3558,                0.61413,                0.98508,                0.90086,                0.83004,                0.90005,                0.57565,                 1.3161,                0.57253,                0.98591,                0.00505,                0.00505,                0.00505
                     52,                 1.3549,                0.61231,                0.98528,                0.90107,                0.83136,                0.90067,                0.57542,                 1.3159,                0.57102,                0.98591,               0.004951,               0.004951,               0.004951
                     53,                 1.3531,                0.61152,                0.98309,                0.90251,                0.83014,                0.90091,                0.57516,                 1.3169,                0.57189,                0.98634,               0.004852,               0.004852,               0.004852
                     54,                 1.3526,                0.61138,                0.98312,                0.90288,                0.83169,                 0.9022,                0.57664,                 1.3159,                0.56891,                0.98539,               0.004753,               0.004753,               0.004753
                     55,                  1.351,                0.61048,                0.98381,                0.90175,                0.83101,                0.90191,                0.57628,                 1.3148,                0.56979,                0.98501,               0.004654,               0.004654,               0.004654
                     56,                 1.3494,                0.60893,                0.98183,                0.90274,                0.83262,                0.90195,                0.57646,                 1.3153,                0.56758,                0.98516,               0.004555,               0.004555,               0.004555
                     57,                 1.3466,                0.60757,                 0.9832,                0.90196,                0.83349,                0.90235,                0.57747,                 1.3133,                 0.5673,                0.98445,               0.004456,               0.004456,               0.004456
                     58,                 1.3494,                0.60769,                0.98091,                0.90263,                0.83367,                0.90222,                0.57738,                 1.3127,                0.56658,                0.98421,               0.004357,               0.004357,               0.004357
                     59,                 1.3482,                0.60801,                0.98324,                 0.9051,                0.83172,                0.90184,                0.57729,                 1.3136,                0.56639,                0.98423,               0.004258,               0.004258,               0.004258
                     60,                 1.3441,                0.60439,                0.98138,                0.90424,                0.83249,                0.90293,                0.57778,                 1.3137,                0.56561,                0.98439,               0.004159,               0.004159,               0.004159
                     61,                 1.3411,                0.60306,                0.98062,                0.90241,                0.83528,                0.90377,                0.57791,                 1.3145,                0.56539,                0.98442,                0.00406,                0.00406,                0.00406
                     62,                 1.3446,                0.60409,                0.98177,                0.90347,                0.83332,                0.90312,                 0.5779,                 1.3123,                0.56486,                0.98423,               0.003961,               0.003961,               0.003961
                     63,                 1.3426,                0.60221,                 0.9798,                0.90348,                0.83468,                0.90304,                0.57792,                 1.3128,                0.56412,                0.98383,               0.003862,               0.003862,               0.003862
                     64,                 1.3422,                0.60201,                0.98069,                0.90395,                0.83479,                0.90321,                0.57852,                 1.3121,                0.56251,                0.98368,               0.003763,               0.003763,               0.003763
                     65,                 1.3395,                0.59995,                 0.9793,                0.90486,                0.83513,                0.90386,                0.57879,                 1.3125,                0.56244,                0.98363,               0.003664,               0.003664,               0.003664
                     66,                 1.3411,                0.60106,                0.98117,                0.90453,                0.83313,                0.90224,                0.57791,                  1.313,                0.56262,                0.98417,               0.003565,               0.003565,               0.003565
                     67,                 1.3397,                0.60105,                0.97911,                0.90477,                0.83354,                0.90273,                0.57834,                 1.3119,                0.56205,                0.98373,               0.003466,               0.003466,               0.003466
                     68,                 1.3389,                0.59901,                0.97875,                0.90501,                0.83498,                0.90441,                0.57896,                 1.3123,                0.56141,                0.98375,               0.003367,               0.003367,               0.003367
                     69,                 1.3365,                0.59767,                0.97739,                0.90621,                0.83482,                 0.9041,                0.57881,                 1.3118,                  0.561,                0.98322,               0.003268,               0.003268,               0.003268
                     70,                 1.3351,                0.59746,                0.97835,                0.90629,                0.83483,                0.90469,                0.57962,                 1.3111,                0.56076,                0.98315,               0.003169,               0.003169,               0.003169
                     71,                 1.3348,                0.59487,                0.97564,                0.90607,                0.83442,                0.90438,                0.57945,                  1.311,                0.56048,                0.98286,                0.00307,                0.00307,                0.00307
                     72,                 1.3373,                0.59668,                0.97968,                0.90641,                0.83422,                0.90375,                0.57934,                 1.3104,                0.56042,                0.98267,               0.002971,               0.002971,               0.002971
                     73,                 1.3335,                0.59558,                0.97637,                0.90722,                0.83451,                0.90433,                0.57952,                 1.3101,                0.56028,                0.98258,               0.002872,               0.002872,               0.002872
                     74,                 1.3324,                0.59426,                0.97696,                0.90616,                0.83563,                0.90377,                0.57955,                 1.3101,                0.55927,                0.98251,               0.002773,               0.002773,               0.002773
                     75,                 1.3332,                0.59386,                0.97854,                0.90639,                0.83638,                0.90394,                0.57937,                 1.3106,                0.55938,                 0.9825,               0.002674,               0.002674,               0.002674
                     76,                 1.3255,                0.59104,                0.97531,                0.90764,                0.83499,                0.90427,                0.57925,                 1.3104,                0.55886,                0.98259,               0.002575,               0.002575,               0.002575
                     77,                 1.3295,                0.59066,                0.97476,                 0.9062,                0.83591,                0.90356,                 0.5792,                 1.3103,                0.55851,                0.98233,               0.002476,               0.002476,               0.002476
                     78,                 1.3304,                0.59052,                0.97501,                0.90558,                0.83605,                0.90356,                0.57954,                 1.3093,                 0.5585,                0.98207,               0.002377,               0.002377,               0.002377
                     79,                 1.3287,                0.58906,                 0.9769,                0.90539,                0.83685,                0.90436,                0.58022,                 1.3091,                0.55843,                0.98205,               0.002278,               0.002278,               0.002278
                     80,                 1.3256,                 0.5884,                0.97397,                0.90455,                0.83691,                0.90374,                0.57961,                 1.3092,                 0.5581,                0.98194,               0.002179,               0.002179,               0.002179
                     81,                 1.3288,                0.58966,                0.97428,                0.90584,                0.83622,                0.90403,                0.57966,                 1.3097,                0.55802,                0.98215,                0.00208,                0.00208,                0.00208
                     82,                 1.3229,                 0.5855,                0.97175,                0.90649,                0.83619,                0.90409,                0.57975,                 1.3097,                0.55787,                0.98233,               0.001981,               0.001981,               0.001981
                     83,                 1.3206,                0.58467,                 0.9727,                0.90702,                0.83589,                0.90428,                0.57981,                 1.3096,                0.55777,                0.98216,               0.001882,               0.001882,               0.001882
                     84,                 1.3234,                0.58662,                0.97293,                0.90646,                0.83629,                0.90432,                0.58003,                 1.3093,                0.55739,                0.98202,               0.001783,               0.001783,               0.001783
                     85,                 1.3236,                0.58692,                0.97211,                0.90743,                 0.8355,                0.90419,                0.58017,                  1.309,                0.55691,                0.98192,               0.001684,               0.001684,               0.001684
                     86,                 1.3232,                 0.5849,                0.97308,                0.90834,                0.83486,                0.90414,                 0.5797,                 1.3091,                0.55662,                0.98192,               0.001585,               0.001585,               0.001585
                     87,                  1.319,                0.58409,                0.97223,                0.90801,                0.83513,                0.90442,                0.57981,                 1.3092,                0.55639,                0.98197,               0.001486,               0.001486,               0.001486
                     88,                 1.3218,                0.58262,                0.97114,                0.90748,                0.83561,                0.90439,                0.58046,                 1.3091,                0.55608,                 0.9819,               0.001387,               0.001387,               0.001387
                     89,                 1.3187,                0.58193,                0.97112,                0.90642,                0.83659,                0.90439,                0.57988,                 1.3097,                0.55591,                0.98213,               0.001288,               0.001288,               0.001288
                     90,                  1.319,                0.58153,                0.96972,                0.90696,                0.83698,                0.90484,                0.57986,                 1.3099,                0.55603,                0.98213,               0.001189,               0.001189,               0.001189
                     91,                  1.312,                0.57606,                0.99439,                 0.9068,                0.83689,                0.90479,                0.57957,                 1.3109,                0.55597,                0.98279,                0.00109,                0.00109,                0.00109
                     92,                 1.3053,                0.56992,                0.99384,                0.90713,                0.83706,                0.90476,                0.57953,                 1.3109,                0.55633,                0.98269,               0.000991,               0.000991,               0.000991
                     93,                 1.3057,                0.56901,                0.99511,                0.90745,                0.83658,                0.90468,                0.57958,                 1.3105,                0.55632,                 0.9826,               0.000892,               0.000892,               0.000892
                     94,                 1.3018,                0.56556,                0.99261,                0.90779,                0.83644,                0.90463,                0.57945,                 1.3109,                0.55625,                0.98279,               0.000793,               0.000793,               0.000793
                     95,                 1.3016,                 0.5661,                0.99267,                0.90806,                 0.8367,                0.90462,                 0.5795,                  1.311,                0.55633,                0.98276,               0.000694,               0.000694,               0.000694
                     96,                 1.2994,                0.56385,                0.99176,                0.90765,                 0.8364,                0.90445,                0.57949,                  1.311,                0.55616,                0.98278,               0.000595,               0.000595,               0.000595
                     97,                 1.2971,                0.56204,                0.99132,                0.90867,                0.83594,                0.90443,                0.57945,                 1.3111,                0.55626,                0.98279,               0.000496,               0.000496,               0.000496
                     98,                 1.2979,                0.56224,                 0.9917,                0.90948,                0.83528,                0.90438,                0.57935,                  1.311,                 0.5562,                0.98273,               0.000397,               0.000397,               0.000397
                     99,                 1.2974,                0.56129,                0.99036,                0.90912,                0.83581,                0.90447,                0.57942,                 1.3111,                0.55623,                0.98274,               0.000298,               0.000298,               0.000298
                    100,                 1.2937,                0.55877,                0.98947,                0.90857,                0.83593,                 0.9045,                0.57944,                 1.3112,                0.55617,                0.98272,               0.000199,               0.000199,               0.000199
